DEBUG 2024-12-02 14:33:39,433 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\idna\package_data.py first seen with mtime 1726050764.6378832
DEBUG 2024-12-02 14:33:39,433 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\zipfile\_path\glob.py first seen with mtime 1725909217.1160915
DEBUG 2024-12-02 14:33:39,433 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1724695076.636682
DEBUG 2024-12-02 14:33:39,434 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\views\generic\list.py first seen with mtime 1724695078.8894136
DEBUG 2024-12-02 14:33:39,434 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\sqlite3\dbapi2.py first seen with mtime 1711640219.1760924
DEBUG 2024-12-02 14:33:39,434 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\asyncio\proactor_events.py first seen with mtime 1717757604.625253
DEBUG 2024-12-02 14:33:39,435 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\core\checks\messages.py first seen with mtime 1724695078.3923516
DEBUG 2024-12-02 14:33:39,435 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\utils\hashable.py first seen with mtime 1724695078.8521502
DEBUG 2024-12-02 14:33:39,436 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\importlib\resources\_itertools.py first seen with mtime 1711640163.0621095
DEBUG 2024-12-02 14:33:39,436 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\http\cookie.py first seen with mtime 1724695078.7904234
DEBUG 2024-12-02 14:33:39,437 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\urllib3\response.py first seen with mtime 1726050763.953864
DEBUG 2024-12-02 14:33:39,437 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\db\models\constraints.py first seen with mtime 1724695078.6724722
DEBUG 2024-12-02 14:33:39,437 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\asyncio\subprocess.py first seen with mtime 1711640133.5219545
DEBUG 2024-12-02 14:33:39,437 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\PIL\ExifTags.py first seen with mtime 1724869834.9059594
DEBUG 2024-12-02 14:33:39,438 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\decimal.py first seen with mtime 1723034556.2726474
DEBUG 2024-12-02 14:33:39,438 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\core\serializers\json.py first seen with mtime 1724695078.5469637
DEBUG 2024-12-02 14:33:39,439 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1724695078.3782122
DEBUG 2024-12-02 14:33:39,441 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\requests\exceptions.py first seen with mtime 1726050765.2219663
DEBUG 2024-12-02 14:33:39,441 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\contrib\messages\middleware.py first seen with mtime 1724695077.4874544
DEBUG 2024-12-02 14:33:39,442 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\urls\converters.py first seen with mtime 1724695078.8336926
DEBUG 2024-12-02 14:33:39,442 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\keyword.py first seen with mtime 1711640163.184981
DEBUG 2024-12-02 14:33:39,443 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\email\errors.py first seen with mtime 1723034556.2736797
DEBUG 2024-12-02 14:33:39,443 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\linecache.py first seen with mtime 1723034686.642819
DEBUG 2024-12-02 14:33:39,443 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\requests\utils.py first seen with mtime 1726050765.2288039
DEBUG 2024-12-02 14:33:39,444 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\urls\utils.py first seen with mtime 1724695078.8371143
DEBUG 2024-12-02 14:33:39,444 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\context.py first seen with mtime 1711640174.7189052
DEBUG 2024-12-02 14:33:39,445 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1724695078.6887171
DEBUG 2024-12-02 14:33:39,445 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\concurrent\__init__.py first seen with mtime 1711640133.78452
DEBUG 2024-12-02 14:33:39,445 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\urllib3\util\ssltransport.py first seen with mtime 1726050763.975258
DEBUG 2024-12-02 14:33:39,446 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\email\generator.py first seen with mtime 1723034556.2756512
DEBUG 2024-12-02 14:33:39,446 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\zoneinfo\__init__.py first seen with mtime 1711640232.8517592
DEBUG 2024-12-02 14:33:39,447 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\contrib\auth\backends.py first seen with mtime 1724695076.638698
DEBUG 2024-12-02 14:33:39,447 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\db\backends\base\client.py first seen with mtime 1724695078.5805295
DEBUG 2024-12-02 14:33:39,447 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\core\exceptions.py first seen with mtime 1724695078.3813035
DEBUG 2024-12-02 14:33:39,448 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\importlib\resources\_adapters.py first seen with mtime 1711640163.0591054
DEBUG 2024-12-02 14:33:39,448 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1724695078.693754
DEBUG 2024-12-02 14:33:39,448 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\contrib\staticfiles\apps.py first seen with mtime 1724695078.3721223
DEBUG 2024-12-02 14:33:39,448 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\dis.py first seen with mtime 1711640133.9156072
DEBUG 2024-12-02 14:33:39,449 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\http\request.py first seen with mtime 1724695078.7914238
DEBUG 2024-12-02 14:33:39,449 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\contrib\messages\apps.py first seen with mtime 1724695077.4854546
DEBUG 2024-12-02 14:33:39,450 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\apps\config.py first seen with mtime 1724695075.7560084
